No,as_path,no_of_hops
1,"15916,32787,6461,8075",2
2,"15916,32787,1299,8075",2
3,"15916,32787,12956,8075",2
4,"15916,32787,6453,8075",2
5,"15916,32787,7018,8075",2
6,"15916,13169,32787,6461,8075",3
7,"15916,13169,32787,1299,8075",3
8,"15916,13169,32787,12956,8075",3
9,"15916,13169,32787,6453,8075",3
10,"15916,13169,32787,7018,8075",3
11,"15916,32787,6461,20495,8075",3
12,"15916,32787,1299,174,8075",3
13,"15916,32787,1299,3356,8075",3
14,"15916,32787,2914,3257,8075",3
15,"15916,32787,6453,3257,8075",3
16,"15916,13169,32787,6461,20495,8075",4
17,"15916,13169,32787,1299,174,8075",4
18,"15916,13169,32787,1299,3356,8075",4
19,"15916,13169,32787,2914,3257,8075",4
20,"15916,13169,32787,6453,3257,8075",4
